Table--Socket

+-------+---------------------------+-------------------+----------+-------------------+------------------+-------------+--------------+------------------+------------------+--------------+---------------+-------------------+-------------------+---------------+----------------------+--------------------------+--------------------------+----------------------+-----------------------+---------------------------+---------------------------+-----------------------+--------------+---------------+
|  Row  |          Address          |       Class       |  Object  |  Aggr. Time (ms)  |  Life Time (ms)  |    When     |  Read.Bytes  |  Read.Bytes.Min  |  Read.Bytes.Max  |  Read.Count  |  Write.Bytes  |  Write.Bytes.Min  |  Write.Bytes.Max  |  Write.Count  |  Channel Read.Bytes  |  Channel Read.Bytes.Min  |  Channel Read.Bytes.Max  |  Channel Read.Count  |  Channel Write.Bytes  |  Channel Write.Bytes.Min  |  Channel Write.Bytes.Max  |  Channel Write.Count  |  Open.Count  |  Close.Count  |
|  #29  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #187  |                1  |               4  |  16s 901ms  |         992  |             992  |             992  |           1  |        2,297  |            2,297  |            2,297  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #30  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #195  |                5  |               7  |  17s 834ms  |       1,112  |           1,112  |           1,112  |           1  |        2,297  |            2,297  |            2,297  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #31  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #197  |               51  |              53  |  17s 835ms  |         992  |             992  |             992  |           1  |        2,297  |            2,297  |            2,297  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #32  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #203  |                1  |               4  |  19s 765ms  |         992  |             992  |             992  |           1  |        2,297  |            2,297  |            2,297  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #33  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #219  |                1  |               3  |  27s 544ms  |           0  |               0  |               0  |           1  |        2,306  |            2,306  |            2,306  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #34  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #223  |                0  |               6  |  27s 546ms  |         382  |             382  |             382  |           1  |        1,667  |            1,667  |            1,667  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #35  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #233  |                4  |               6  |  30s 458ms  |       1,142  |           1,142  |           1,142  |           1  |          219  |              219  |              219  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #36  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #235  |               33  |              36  |  30s 459ms  |         992  |             992  |             992  |           1  |          219  |              219  |              219  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #37  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #245  |              302  |             307  |   34s 51ms  |         986  |             986  |             986  |           1  |          219  |              219  |              219  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #38  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #247  |                9  |              12  |   34s 52ms  |       1,079  |           1,079  |           1,079  |           1  |          219  |              219  |              219  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #39  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #253  |                0  |               0  |  34s 315ms  |           0  |               0  |               0  |           1  |            0  |                0  |                0  |            0  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            0  |
+-------+---------------------------+-------------------+----------+-------------------+------------------+-------------+--------------+------------------+------------------+--------------+---------------+-------------------+-------------------+---------------+----------------------+--------------------------+--------------------------+----------------------+-----------------------+---------------------------+---------------------------+-----------------------+--------------+---------------+

Generated by YourKit Java Profiler 2021.11-b219 November 28, 2021 10:18:58 PM
